name,star_name,star_age,star_age_error_min,star_age_error_max,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
109 Psc b,109 Psc,6.9,0.6,0.6,Confirmed,6.8,0.3,0.9,6.383,0.078,0.078,1.152,,,1075.4,0.7,0.8,2.051,0.087,0.079,0.104,0.008,0.009,86.116,20.53,19.957,0.066339,2000,2026-04-03,112.816,5.448,5.254,2451492.0,17.0,17.0,,,,,,,,,,,,,,,,,,,114.583,1.196,1.067,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Astrometry",Astrometry,Theoretical,HD 10697 b,,26.2326,20.08315,6.29,,,,,32.56,0.88,0.88,0.1,0.06,0.06,1.13,0.03,0.03,1.79,0.17,0.17,G5 IV,5600.0,80.0,80.0,,,HD 10697
11 UMi b,11 UMi,1.56,0.54,0.54,Confirmed,,1.1,1.1,11.0873,1.1,1.1,,,,516.22,3.25,3.25,1.54,0.07,0.07,0.08,0.03,0.03,,,,0.012887,2009,2023-03-03,117.63,21.06,21.06,2452861.05,2.06,2.06,,,,,,,,,,,,,,,,,,,189.7,7.15,7.15,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,229.275,71.8238889,5.02,,,,,119.5,6.9,6.9,0.04,0.04,0.04,1.8,0.25,0.25,24.08,1.84,1.84,K4III,4340.0,70.0,70.0,,,
14 Her b,14 Her,5.1,,,Confirmed,8.9,1.7,1.3,4.95,,,,,,1767.56,0.22,0.22,2.839,0.041,0.039,0.3683,0.0029,0.0029,146.7,9.74,4.584,0.153039,2002,2025-06-12,22.3,0.4,0.4,2451368.0,5.0,5.0,,,,,,,,,,,,,,,,,,,90.38,0.15,0.15,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Astrometry",Astrometry,,HD 145675 b,,242.5958333,43.8216667,6.67,,,,,18.1,,,0.43,0.08,0.08,0.9,,,0.708,0.085,0.085,K0 V,5311.0,87.0,87.0,,,
14 Her c,14 Her,5.1,,,Confirmed,7.9,1.2,1.6,7.12,,,,,,52160.0,1028.0,1028.0,20.0,4.9,12.0,0.52,0.12,0.16,116.3,9.167,24.64,0.381215,2006,2025-06-12,172.5,4.584,4.011,2451779.0,33.0,33.0,,,,,,,,,,,,,,,,,,,50.8,0.4,0.4,,,,,,,,,,Submitted to a professional journal,"Radial Velocity, Astrometry, Imaging",Astrometry,,HD 145675 c,,242.5958333,43.8216667,6.67,,,,,18.1,,,0.43,0.08,0.08,0.9,,,0.708,0.085,0.085,K0 V,5311.0,87.0,87.0,,,
16 Cyg Bb,16 Cyg B,8.0,1.8,1.8,Confirmed,,0.08,0.08,1.64,0.08,0.08,,,,799.5,0.6,0.6,1.68,0.03,0.03,0.689,0.011,0.011,,,,0.078468,1996,2024-07-28,83.4,2.1,2.1,2450539.3,1.6,1.6,,,,,,,,,,,,,,,,,,,50.5,1.6,1.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,295.4625,50.5175,6.2,,,,,21.41,0.24,0.24,0.08,0.04,0.04,1.01,0.04,0.04,0.98,0.13,0.13,G2.5 V,5766.0,60.0,60.0,,,"HD 186427, GJ 765.1 B"
1RXS 1609 b,1RXS 1609,0.011,0.002,0.002,Confirmed,6.6,0.3,0.3,,,,1.7,,,,,,305.0,51.0,74.0,0.25,0.15,0.2,,,,2.22,2008,2026-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,,,,,4.0,Published in a refereed paper,Imaging,,,"1RXS J160929.1-210524 b, 1RXS J1609b, 1RXS J1609-2105b, RXJ 1609","CO, H2O, K",242.375,-21.0827778,,10.99,9.82,9.12,8.92,145.0,20.0,20.0,,,,0.73,0.05,0.05,1.35,,,K7V,4060.0,200.0,200.0,,,"1RXS1609, 1RXS J1609, 1RXS J160929.1-210524"
1RXS J125608.8-692652 (AB)b,1RXS J125608.8-692652,0.003,,,Confirmed,44.5,5.8,5.8,,,,,,,,,,503.0,,,,,,,,,,2024,2024-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,"Imaging, Astrometry",Astrometry,,2MASS J12560830-6926539 (AB)b,,194.03461754608,-69.44835024525,11.831,10.048,8.91,8.25,7.99,98.6,,,,,,0.7,,,1.831,,,K7Ve,3971.38,,,,,2MASS J12560830-6926539
1RXS J235133.3+312720 Ab,1RXS J235133.3+312720 A,0.1,0.05,0.05,Confirmed,32.0,6.0,6.0,,,,,,,,,,120.0,20.0,20.0,,,,,,,,2012,2024-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,357.890308282,31.4563946913,13.6,,,,,,,,,,,0.45,0.05,0.05,,,,M2V,,,,,,2MASS J23513366+3127229
1SWASP J1407 b,1SWASP J1407,0.016,,,Confirmed,,6.0,6.0,20.0,6.0,6.0,,,,3725.0,900.0,900.0,3.9,1.7,1.7,,,,,,,,2012,2014-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,,211.950000016,-39.761944469,12.4,,,,,133.0,12.0,12.0,,,,0.9,,,0.99,0.11,0.11,,4400.0,100.0,100.0,,,
23 Lib b,23 Lib,9.7,3.7,3.7,Confirmed,1.8,0.2,1.2,1.59,0.02,0.02,,,,258.19,0.07,0.07,0.81,0.02,0.02,0.233,0.002,0.002,,,,0.036486,1999,2026-04-09,252.7,0.5,0.5,10071.0,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Astrometry,,HD 134987 b,,228.3666667,-25.3091667,6.45,,,,,22.2,1.1,1.1,0.25,0.02,0.02,1.07,0.08,0.08,1.25,0.04,0.04,G5 V,5740.0,23.0,23.0,,,HD 134987
23 Lib c,23 Lib,9.7,3.7,3.7,Confirmed,1.9,0.5,0.5,0.82,0.03,0.03,,,,5000.0,400.0,400.0,5.8,0.5,0.5,0.12,0.02,0.02,,,,0.261261,2009,2026-04-09,195.0,48.0,48.0,11100.0,600.0,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Astrometry,,HD 134987 c,,228.3666667,-25.3091667,6.45,,,,,22.2,1.1,1.1,0.25,0.02,0.02,1.07,0.08,0.08,1.25,0.04,0.04,G5 V,5740.0,23.0,23.0,,,HD 134987
24 Boo b,24 Bo&ouml;,6.92,4.8,4.8,Confirmed,,0.11,0.11,0.91,0.11,0.11,,,,30.3506,0.0078,0.0078,0.19,0.009,0.012,0.042,0.029,0.048,,,,,2018,2023-08-07,210.0,130.0,100.0,2450008.6,7.9,10.1,,,,,,,,,,,,,,,,,,,59.9,3.3,3.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,217.162500013,49.845000026,5.6,,,,,100.0,2.5,2.5,-0.77,0.03,0.03,0.99,0.13,0.19,10.64,0.59,0.84,G3IV,4893.0,15.0,15.0,,,
24 Sex b,24 Sex,2.7,0.4,0.4,Confirmed,,0.11,0.11,1.84,0.11,0.11,,,,452.8,4.5,2.1,1.333,0.009,0.004,0.09,0.06,0.14,,,,0.017821,2010,2021-10-02,9.2,165.4,277.9,2454762.0,172.3,172.3,,,,,,,,,,,,,,,,,,,33.2,1.6,1.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,155.868205808,-0.902243675771,7.38,,,,,72.2084,0.6832,0.6832,-0.03,0.04,0.04,1.54,0.08,0.08,4.9,0.08,0.08,G5,5098.0,44.0,44.0,,,
24 Sex c,24 Sex,2.7,0.4,0.4,Confirmed,,0.2,0.2,1.52,0.2,0.2,,,,883.0,14.0,32.0,2.08,0.02,0.05,0.29,0.09,0.16,,,,0.027807,2010,2021-10-02,220.5,320.9,182.2,2454930.0,96.5,96.5,,,,,,,,,,,,,,,,,,,23.5,2.9,2.9,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,155.868205808,-0.902243675771,7.38,,,,,72.2084,0.6832,0.6832,-0.03,0.04,0.04,1.54,0.08,0.08,4.9,0.08,0.08,G5,5098.0,44.0,44.0,,,
2MASS J0103-5515 (AB)b,2MASS J0103-5515,0.03,,,Confirmed,10.5,1.1,1.1,,,,1.54,0.03,0.03,,,,84.0,,,,,,,,,,2013,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,1731.0,96.0,96.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,"Delorme 1 (AB)b, 2MASS J01033563-5515561 (AB)b",H,15.9,-55.2656,,,7.5,,,47.2,3.1,3.1,,,,0.4,,,,,,M,,,,,,"Delorme 1, 2MASS J01033563-5515561"
2MASS J0122-2439 b,2MASS J0122-2439,0.144,0.082,0.105,Confirmed,25.0,12.0,12.0,,,,1.2,0.2,0.2,,,,52.0,6.0,6.0,,,,,,,1.37,2013,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,"2M 0122-24 b, BWL 63 b, 2MASS J01225093-2439505 b, WISE J012251.02-243952.0 b",,20.712243,-24.664049,,,10.084,9.47,,36.0,4.0,4.0,,,,0.4,0.05,0.05,0.37,,,M3.5V,3530.0,50.0,50.0,,,"BWL 63, 2MASS J01225093-2439505, WISE J012251.02-243952.0"
2MASS J0213+3648 (AB)b,2MASS J0213+3648,5.5,4.5,4.5,Confirmed,63.0,9.0,9.0,,,,1.1,,,,,,360.0,,,,,,,,,,2017,2024-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300.0,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,"2MASS J0213+3648 C, 2MASSW J0213198+364837",,9.067132871325834,18.352857407212777,13.86,,,,,22.2,4.0,6.4,-0.07,,,0.26,0.06,0.06,0.214,0.007,0.007,M4.5V,3300.0,,,,,"JNN 18, 2MASS J02132062+3648506"
2MASS J0320-0446 b,2MASS J0320-0446,1.0,,,Confirmed,,,,54.0,,,,,,246.73,0.49,0.49,0.395,,,0.065,0.016,0.016,,,,,2008,2024-07-16,,,,,,,,,,,,,,,,,,,,,,,,,7020.0,120.0,120.0,1350.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,2MASS J03202839-0446358 b,,50.11817936778375,-4.776776857102222,,,13.26,12.53,12.13,25.0,3.0,3.0,,,,0.081,,,,,,M8.5V,2300.0,100.0,100.0,,,2MASS J03202839-0446358
2MASS J0320-0446 c,2MASS J0320-0446,1.0,,,Confirmed,35.0,,,,,,,,,,,,8.3,,,,,,,,,,2008,2024-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,50.11817936778375,-4.776776857102222,,,13.26,12.53,12.13,25.0,3.0,3.0,,,,0.081,,,,,,M8.5V,2300.0,100.0,100.0,,,2MASS J03202839-0446358
2MASS J0408+2807 b,2MASS J0408+2807,0.011,,,Confirmed,40.0,,,,,,,,,,,,6.4,,,,,,,,,,2007,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,"KSA 2 b, 2MASS J04080782+2807280 b",,62.03264576658,28.12449503215,,,12.4,11.75,11.4,230.0,,,,,,0.25,,,0.684,0.023,0.023,M3.75,3305.0,,,,,"KSA 2, 2MASS J04080782+2807280"
2MASS J0437+2651 b,2MASS J0437+2651,0.0025,0.0004,0.0004,Confirmed,4.0,,,,,,,,,,,,118.0,1.3,1.3,,,,,,,,2021,2024-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,2M 0437 b,,69.3405544,26.850296,15.7,,,,,128.1,0.5,0.5,0.01,0.05,0.05,0.0165,0.0015,0.0015,0.84,0.11,0.11,M4V,3100.0,100.0,100.0,,,"2M0437A, 2MASS J04372171+2651014"
2MASS J0441+2301 Ab,2MASS J0441+2301 A,0.002,,,Confirmed,35.0,5.0,5.0,,,,4.1,0.2,0.2,,,,33.0,,,,,,,,,,2015,2025-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800.0,,,,,,,,,Published in a refereed paper,Imaging,,,2MASS J04414489+2301513 Ab,,70.4375,23.0308333,,,14.2,13.72,13.16,145.0,15.0,15.0,,,,0.2,0.05,1.0,1.1,,,M4.5V,3400.0,,,,,2MASS J04414489+2301513 A
2MASS J0441+2301 B,2MASS J0441+2301 A,0.002,,,Confirmed,19.0,3.0,3.0,,,,3.5,1.9,1.9,,,,1800.0,,,,,,,,,,2010,2025-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100.0,,,,,,,,,Published in a refereed paper,Imaging,,,"2MASS J04414489+2301513 B, 2MASS J04414489+2301513 Ba",,70.4375,23.0308333,,,14.2,13.72,13.16,145.0,15.0,15.0,,,,0.2,0.05,1.0,1.1,,,M4.5V,3400.0,,,,,2MASS J04414489+2301513 A
2MASS J0525-7425 b,2MASS J0525-7425,1.5,,,Confirmed,70.0,10.0,5.0,,,,,,,,,,2020.0,130.0,130.0,,,,,,,,2012,2025-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,2MASS J05254550-7425263 b,,81.43983019866624,-74.4238958490786,13.46,,,,,43.9,4.3,4.3,-0.01,0.03,0.03,0.46,0.01,0.01,0.451,0.0134,0.0134,M3V,3320.0,50.0,50.0,,,"AL 189, AP J05254550-7425263, 2MASS J05254550-7425263"
2MASS J0534-0530 b,2MASS J0534-0530,0.0033,,,Confirmed,4.6,0.13,0.13,,,,,,,,,,198.5,,,,,,,,,0.48,2020,2025-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,2MASS J05342857-0530325 b,,83.61902968,-5.509038831,20.2,16.24,14.6,14.0,13.7,413.5,,,,,,0.07,,,0.74,,,M4.1e,2841.0,,,,,2MASS J05342857-0530325
2MASS J0535-0522 b,2MASS J0535-0522,0.0017,,,Confirmed,16.0,0.47,0.47,,,,,,,,,,260.2,,,,,,,,,0.59,2020,2025-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,2MASS J05351894-0522187 b,,83.828967,-5.371875,17.4,14.5,12.1,10.55,9.92,441.23,,,0.0,,,1.7,,,,,,M3,3235.0,,,,,2MASS J05351894-0522187
2MASS J0535-0532 b,2MASS J0535-0532,0.0006,,,Confirmed,51.0,0.57,0.57,,,,,,,,,,78.0,,,,,,,,,0.19,2020,2025-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,2MASS J05351743-0532162 b,,83.82263551,-5.537828912,,,,,,410.0,,,,,,0.138,0.003,0.003,1.28,,,M6,2935.0,,,,,2MASS J05351743-0532162
2MASS J0953-5055 b,2MASS J0953-5055,14.0,,,Confirmed,30.0,,,,,,,,,,,,2100.0,,,,,,,,,,2024,2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,"2MASS J09530410-5055203 b, CWISE J095259.54-505418.9",,148.26707460894667,-50.92232399502722,16.12,,11.835,11.267,10.937,27.99,0.05415,0.05415,-0.45,0.11,0.05,0.131,0.02,0.02,0.16,0.0048,0.0048,M6V,2974.0,157.0,157.0,,,2MASS J09530410-5055203
2MASS J1118-0640 b,2MASS J1118-0640,6.0,,,Confirmed,65.0,5.0,5.0,,,,0.9,0.1,0.1,,,,709.0,,,,,,,,,,2014,2025-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300.0,100.0,100.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,,"CFBDS J111807-064016, 2MASS J11180698-0640078 b",,169.52917497826,-6.66881277459,19.14,,,,,100.716,1.574,1.574,-0.1,0.1,0.1,0.185,0.02,0.02,0.216,0.0074,0.0074,M4.5V,3030.0,157.0,157.0,,,2MASS J11180698-0640078
2MASS J1155-7919 b,2MASS J1155-7919,0.005,,,Confirmed,10.0,,,,,,,,,,,,582.0,,,,,,,,,,2020,2025-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Astrometry,Spectrum,,,,178.769,-79.32,14.0,,,,,101.15,0.5,0.5,,,,,,,,,,M3,,,,,,
2MASS J1315-2649 b,2MASS J1315-2649,0.9,0.1,0.1,Confirmed,28.0,4.0,4.0,,,,0.91,0.02,0.02,19162.5,2737.5,2737.5,6.6,0.9,0.9,,,,,,,,2011,2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,670.0,7.0,7.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,,2MASS J13153094-2649513 b,,198.87858242815332,26.83106370310139,,,15.19,14.06,13.46,19.0,3.0,3.0,,,,0.074,0.002,0.002,0.084,0.02,0.02,L5Ve,1770.0,140.0,140.0,,,2MASS J13153094-2649513
2MASS J1426+1557 b,2MASS J1426+1557,0.8,0.3,6.7,Confirmed,66.0,15.0,6.0,,,,,,,4854.5,551.15,1160.7,2.92,0.16,0.22,,,,,,,,2002,2024-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,"CLO 1 b, 2MASS J1426316+155701 b",,216.63172224489,15.95029613313,,,,,,18.8,1.02,1.44,,,,0.074,0.011,0.005,0.1287,0.0039,0.0039,M9V,,,,,,"CLO 1, 2MASS J1426316+155701"
2MASS J1554-3154 b,2MASS J1554-3154,0.003,,,Confirmed,33.8,3.6,3.6,,,,,,,,,,883.0,,,,,,,,,,2022,2024-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,"Imaging, Astrometry",Astrometry,,2MASS J15545141-3154463 b,,238.71423336494,-31.91287335808,12.1,,9.599,8.773,8.233,142.476115,,,,,,0.7,0.005,0.005,1.283,,,K5IVe,4318.64,,,,,"2MASS J15545141-3154463, WRAY 15-1380"
2MASS J1559+4403 Ab,2MASS J1559+4403 A,0.125,0.075,0.075,Confirmed,,2.7,2.0,24.5,2.7,2.0,,,,13.976,0.001,0.001,0.0938,0.001,0.001,0.35,0.03,0.03,,,,,2024,2024-08-30,148.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,11000.0,500.0,500.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,2MASS J155947+440359 Ab,,239.945833349,44.066666681,11.8,,,,,35.0,,,,,,0.54,,,,,,M2.0V,,,,,,2MASS J155947+440359
2MASS J1839+4424 b,2MASS J1839+4424,0.185,0.02,0.02,Confirmed,38.7,1.6,1.8,,,,1.58,0.67,0.0,,,,832.0,,,,,,,,,1.84,2008,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,,,,,,,,,Published in a refereed paper,"Imaging, Astrometry",Spectrum,Flux,"2MASS J18392735+4424484, KPP 3332 b",,279.87168394516,44.41071000347,,,,,,37.67,,,,,,0.071,0.0047,0.0031,0.123,0.00382,0.00382,M9V,2810.0,158.0,158.0,,,"2MASS J18392917+4424386, KP 3332 A"
2MASS J2026-2943 b,2MASS J2026-2943,5.0,4.0,5.0,Confirmed,63.0,33.0,9.0,,,,,,,,,,9.0,,,,,,,,,,2010,2024-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,"SIPS J2026-2943 b, 2MASS J20261584-2943124 b",,306.56603612898294,-29.72028856850917,,,,,,36.0,5.0,5.0,,,,0.08,0.003,0.004,,,,L1V,,,,,,"SIPS J2026-2943, 2MASS J20261584-2943124"
2MASS J2236+4751 b,2MASS J2236+4751,0.12,0.01,0.01,Confirmed,12.5,1.5,1.5,,,,,,,,,,230.0,20.0,20.0,,,,,,,3.7,2016,2024-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,2MASS J22362452+4751425 b,"CO, H2O",339.104166675,47.861944471,12.5,,,,,63.0,,,,,,0.6,0.05,0.05,,,,K7V,,,,,,2MASS J22362452+4751425
2MASS J2250+2325 b,2MASS J2250+2325,0.15,,,Confirmed,30.0,4.0,11.0,,,,,,,,,,518.0,40.0,40.0,,,,,,,,2017,2018-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,342.562500005,23.426111127,14.9,,10.7,10.1,9.8,57.2309,0.1433,0.1433,,,,0.433,0.02,0.02,0.437,0.0129,0.0129,M3V,3352.0,157.0,157.0,,,2MASS J22501512+2325342
3 Cnc b,3 Cnc,0.43,0.12,0.22,Confirmed,,0.73,0.73,20.76,0.73,0.73,,,,853.64,4.76,4.76,2.52,0.04,0.03,0.04,0.03,0.04,,,,,2020,2020-10-26,275.18,96.04,73.58,2453806.7,175.74,227.0,,,,,,,,,,,,,,,,,,,216.17,11.16,11.16,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,120.195833349,17.308611124,5.6,,,,,243.3,26.86,34.46,0.06,0.1,0.1,2.94,0.33,0.36,39.38,3.3,3.68,K3 III,4319.0,22.0,34.0,,,
38 Vir b,38 Vir,1.9,0.7,0.6,Confirmed,,0.5,0.5,4.51,0.5,0.5,,,,825.9,6.2,6.2,1.82,0.07,0.07,0.03,0.04,0.04,,,,,2016,2017-02-20,,,,,,,,,,2455490.2,177.3,177.3,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,HD 111998 b,,193.296489462,-3.55309929126,6.11,,,,,,,,0.07,,,1.18,0.12,0.12,1.45,0.07,0.07,F6 V,6557.0,96.0,96.0,,,"HD 111998, HIP 62875"
41 Com Ab,41 Com,3.24,1.2,1.2,Confirmed,,1.0,1.0,6.3,1.0,1.0,,,,610.2,3.8,3.8,1.6,0.1,0.1,0.28,0.12,0.12,,,,,2017,2024-08-01,92.06,17.25,17.25,2455602.4,24.0,24.0,,,,,,,,,,,,,,,,,,,120.0,9.0,9.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 113996 b,,196.795833337,27.624722241,4.9,,,,,102.0,2.5,2.5,0.13,0.08,0.08,1.49,0.18,0.18,25.11,1.2,1.2,K5III,4181.0,40.0,40.0,,,HD 113996
44 Uma b,44 Uma,1.05,0.18,0.5,Confirmed,,0.85,0.2,12.11,0.85,0.2,,,,785.74,4.77,4.8,2.16,0.06,0.02,0.11,0.06,0.06,,,,,2020,2020-10-26,135.6,45.6,40.66,2453560.34,90.8,98.9,,,,,,,,,,,,,,,,,,,158.74,8.62,8.55,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,163.39355033875404,54.58512741108192,5.12,,,,,200.4,12.43,14.19,-0.21,0.1,0.1,2.19,0.43,0.1,45.12,2.32,1.97,K3 III,4215.0,13.0,13.0,,,
47 UMa b,47 UMa,7.4,1.9,1.9,Confirmed,,0.06,0.07,2.53,0.06,0.07,,,,1078.0,2.0,2.0,2.1,0.02,0.02,0.032,0.014,0.014,,,,0.150322,1996,2024-07-20,334.0,23.0,23.0,2451917.0,76.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0.0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,5892.0,70.0,70.0,,,
47 UMa c,47 UMa,7.4,1.9,1.9,Confirmed,,0.073,0.066,0.54,0.073,0.066,,,,2391.0,87.0,100.0,3.6,0.1,0.1,0.098,0.096,0.047,,,,0.257695,2001,2024-07-20,295.0,160.0,114.0,2456441.0,825.0,628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0.0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,5892.0,70.0,70.0,,,
47 UMa d,47 UMa,7.4,1.9,1.9,Confirmed,,0.48,0.29,1.64,0.48,0.29,,,,14002.0,5095.0,4018.0,11.6,2.9,2.1,0.16,0.16,0.09,,,,0.830351,2010,2024-07-20,110.0,160.0,132.0,2451736.0,5051.0,6783.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0.0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,5892.0,70.0,70.0,,,
51 Eri Ab,51 Eri A,0.02,0.006,0.006,Confirmed,4.1,0.5,0.5,,,,1.11,0.13,0.16,10260.0,1800.0,6300.0,11.1,1.3,4.2,0.49,0.15,0.15,136.0,11.0,11.0,,2015,2025-03-25,84.0,58.0,58.0,2452014.79,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,700.0,,,,,,,,3.5,Published in a refereed paper,Imaging,Spectrum,,,"CH4, H2O",69.4005514287,-2.47354859817,5.223,,,,,29.4,0.3,0.3,-0.027,,,1.75,0.05,0.05,,,,F0IV,,,,IR Excess,,
51 Peg b,51 Peg,4.0,2.5,2.5,Confirmed,0.61,0.06,0.06,0.46,0.06,0.01,1.9,0.3,0.3,4.2307966,2.7e-06,2.7e-06,0.052,,,0.0069,0.0066,0.0069,49.8,5.8,5.8,0.003537,1995,2026-05-25,54.1,72.3,72.3,2450404.4,,,2456326.9323,0.0013,0.0013,,,,,,,,,,,,,2497.0,0.022,0.022,55.77,0.15,0.15,,,,,,0.5,,,3.15,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,"CO, H2O",344.3625,20.7686111,5.49,4.61,4.66,4.23,3.91,15.4614,0.0297,0.0297,0.18,0.1,0.1,1.03,0.126,0.126,1.176,0.051,0.051,G2IV-V,5758.0,110.623,110.623,,,HD 217014
